0.00460806 24
0.00700106 16
0.015207 8
0.023621 0
0.0319449 17
0.0403339 9
0.0486981 25
0.057074 1
0.0654561 18
0.073842 10
0.082265 26
0.0906121 2
0.0990161 19
0.107381 3
0.115791 27
0.124156 11
0.132538 20
0.140897 4
0.149229 28
0.157661 12
0.166018 21
0.174361 5
0.182779 29
0.191161 13
0.199519 22
0.207864 6
0.216305 30
0.224667 14
0.232998 23
0.241371 7
0.249703 31
0.258089 15
0.266464 40
0.275037 57
0.283203 48
0.291546 32
0.299978 41
0.308403 58
0.316802 49
0.325118 33
0.333472 42
0.34191 59
0.350269 50
0.358618 34
0.366947 43
0.375356 60
0.383743 51
0.392115 35
0.400467 44
0.408849 61
0.417251 52
0.425617 36
0.433979 45
0.44235 62
0.450706 53
0.459121 37
0.467491 46
0.475842 63
0.484199 54
0.492576 38
0.500932 47
0.509309 64
0.517694 55
0.526069 39
0.534439 65
0.542855 67
0.551225 56
0.560055 66
0.568053 68
0.576408 71
0.5848 70
0.593192 69
0.601594 72
0.609913 75
0.618308 74
0.626747 73
0.635065 76
0.643475 77
0.651822 78
0.660245 79
0.668551 80
0.676892 81
0.685256 82
0.69561 83
0.701988 84
0.710546 85
0.718807 86
0.727234 87
0.735567 88
0.744003 89
0.752364 90
0.760732 91
0.769147 92
0.777473 93
0.785875 94
0.794208 95
0.802566 96
0.810999 97
0.819366 98
0.827685 99
